	Irf8.Null.56	Irf8.Null.12	Irf8.Null.51	Irf8.Null.48	Irf8.Null.26	Irf8.Null.28	Irf8.Null.52	Irf8.Null.15	Irf8.Null.18	Irf8.Null.2	Irf8.Null.45	Irf8.Null.1	Irf8.Null.40	Irf8.Null.31	Irf8.Null.44	Irf8.Null.21	Irf8.Null.57	Irf8.Null.3	Irf8.Null.55	Irf8.Null.24	Irf8.Null.43	Irf8.Null.30	Irf8.Null.36	Irf8.Null.46	Irf8.Null.13	Irf8.Null.50	Irf8.Null.6	Irf8.Null.11	Irf8.Null.62	Irf8.Null.10	Irf8.Null.59	Irf8.Null.34	Irf8.Null.32	Irf8.Null.5	Irf8.Null.14	Irf8.Null.22	Irf8.Null.19	Irf8.Null.7	Irf8.Null.33	Irf8.Null.61	Irf8.Null.29	Irf8.Null.63	Irf8.Null.20	Irf8.Null.25	Irf8.Null.17	Irf8.Null.41	Irf8.Null.49	Irf8.Null.60	Irf8.Null.47	Irf8.Null.27	Irf8.Null.9	Irf8.Null.58	Irf8.Null.54	Irf8.Null.4	Irf8.Null.8	Irf8.Null.53	Irf8.Null.37	Irf8.Null.39	Irf8.Null.35	Irf8.Null.38	Irf8.Null.16	Spacer1	Spacer2	Spacer3	Irf8.Null.42	Gmp.R3.11	Gmp.R3.39	Gmp.R2.1	Gmp.R2.10	Gmp.R3.40	Gmp.R2.8	Gmp.R3.37	Gmp.R3.16	Gmp.R2.5	Gmp.R2.3	Gmp.R2.18	Gmp.R3.42	Gmp.R2.35	Gmp.R2.26	Gmp.R2.24	Gmp.R3.38	Gmp.R2.22	Gmp.R3.20	Gmp.R3.19	Gmp.R2.45	Gmp.R2.4	Gmp.R3.29	Gmp.R3.41	Gmp.R3.23	Gmp.R2.60	Gmp.R2.39	Gmp.R2.2	Gmp.R3.32	Gmp.R2.9	Gmp.R2.68	Gmp.R2.57	Gmp.R2.32	Gmp.R2.44	Gmp.R2.48	Gmp.R2.12	Gmp.R2.17	Gmp.R3.47	Gmp.R3.1	Gmp.R3.31	Gmp.R3.2	Gmp.R2.23	Gmp.R2.67	Gmp.R3.51	Gmp.R2.43	Gmp.R2.34	Gmp.R2.51	Gmp.R3.7	Gmp.R3.21	Gmp.R2.28	Gmp.R3.67	Gmp.R2.30	Gmp.R2.11	Gmp.R2.29	Gmp.R3.33	Gmp.R3.66	Gmp.R3.48	Gmp.R3.44	Gmp.R3.58	Gmp.R2.56	Gmp.R2.54	Gmp.R2.55	Gmp.R2.6	Gmp.R2.41	Gmp.R2.21	Gmp.R3.59	Gmp.R2.13	Gmp.R2.42	Gmp.R3.6	Gmp.R3.27	Gmp.R2.27	Gmp.R3.10	Gmp.R2.38	Gmp.R3.52	Gmp.R3.13	Gmp.R3.35	Gmp.R3.18	Gmp.R3.15	Gmp.R2.7	Gmp.R2.66	Gmp.R3.28	Gmp.R3.5	Gmp.R2.64	Gmp.R3.55	Gmp.R3.25	Gmp.R3.12	Gmp.R2.19	Gmp.R3.53	Gmp.R2.61	Gmp.R3.43	Gmp.R2.15	Gmp.R3.49	Gmp.R3.65	Gmp.R3.63	Gmp.R3.56	Gmp.R3.24	Gmp.R3.57	Gmp.R3.62	Gmp.R2.16	Gmp.R3.14	Gmp.R3.30	Gmp.R2.37	Gmp.R3.45	Gmp.R3.61	Gmp.R3.3	Gmp.R2.59	Gmp.R3.26	Gmp.R2.63	Gmp.R3.34	Gmp.R2.14	Gmp.R3.17	Gmp.R2.36	Gmp.R2.65	Gmp.R3.22	Gmp.R3.46	Gmp.R3.64	Gmp.R3.36	Gmp.R3.54	Gmp.R2.33	Gmp.R2.52	Gmp.R2.50	Gmp.R2.20	Gmp.R2.49	Gmp.R3.50	Gmp.R3.9	Gmp.R3.4	Gmp.R2.46	Gmp.R2.47	Gmp.R3.60	Gmp.R3.8	Gmp.R2.40	Gmp.R2.58	Gmp.R3.68	Spacer4	Spacer5	Spacer6	Gfi1.Null.29	Gfi1.Null.75	Gfi1.Null.23	Gfi1.Null.61	Gfi1.Null.13	Gfi1.Null.48	Gfi1.Null.4	Gfi1.Null.83	Gfi1.Null.9	Gfi1.Null.69	Gfi1.Null.25	Gfi1.Null.32	Gfi1.Null.65	Gfi1.Null.39	Gfi1.Null.56	Gfi1.Null.20	Gfi1.Null.14	Gfi1.Null.53	Gfi1.Null.84	Gfi1.Null.12	Gfi1.Null.71	Gfi1.Null.70	Gfi1.Null.5	Gfi1.Null.37	Gfi1.Null.1	Gfi1.Null.49	Gfi1.Null.27	Gfi1.Null.78	Gfi1.Null.34	Gfi1.Null.18	Gfi1.Null.63	Gfi1.Null.52	Gfi1.Null.76	Gfi1.Null.6	Gfi1.Null.46	Gfi1.Null.72	Gfi1.Null.66	Gfi1.Null.47	Gfi1.Null.81	Gfi1.Null.62	Gfi1.Null.30	Gfi1.Null.59	Gfi1.Null.67	Gfi1.Null.60	Gfi1.Null.35	Gfi1.Null.33	Gfi1.Null.7	Gfi1.Null.10	Gfi1.Null.73	Gfi1.Null.82	Gfi1.Null.17	Gfi1.Null.50	Gfi1.Null.74	Gfi1.Null.36	Gfi1.Null.51	Gfi1.Null.79	Gfi1.Null.21	Gfi1.Null.26	Gfi1.Null.19	Gfi1.Null.77	Gfi1.Null.68	Gfi1.Null.44	Gfi1.Null.41	Gfi1.Null.58	Gfi1.Null.80	Gfi1.Null.16	Gfi1.Null.45	Gfi1.Null.43	Gfi1.Null.15	Gfi1.Null.31	Gfi1.Null.57	Gfi1.Null.38	Gfi1.Null.54	Gfi1.Null.3	Gfi1.Null.64	Gfi1.Null.8	Gfi1.Null.24	Gfi1.Null.55	Gfi1.Null.42
	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Null	Null	Null	neither	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	neither	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Gfi1-high	Null	Null	Null	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Irf8-high	Gfi1-high	neither	neither
Haao	0	5.027684877	8.977508905	0	8.825149603	5.621758857	8.662347939	3.375734539	5.022367813	0	0	0	5.135042286	0	8.344384686	7.496654083	0	0	0	0	0	0	0	0	7.840526177	0	1.269033146	6.850999395	0	0	0	0	2.545968369	9.649346006	1.232660757	1.097610797	0	0	0	0	0	6.808642468	0	8.419159629	0	0	0	0	0	8.174925683	5.629648044	0	7.871412451	0	0	0	0	0	0	0	0	0	0	0	8.672425342	0.713695815	6.771093252	9.040591107	0	7.366584499	7.563386966	5.304511042	9.01150682	9.298749947	0	8.847902978	0	0.669026766	0	0	0	7.670727054	2.333423734	0	0	2.3305584	8.933572638	6.254934119	4	8.831718931	8.917819589	8.155425432	2.070389328	7.21042783	8.897936189	4.482202926	0	8.011003564	0	0	0	6.98230913	4.477029653	8.212374788	4.993221467	0	0	0	7.737619167	0	4.329123596	6.920650595	8.279006914	6.953498063	7.76851518	8.699850035	0	1.944858446	4.284662185	8.743992861	0	0	0	0	0.879705766	0	0	0	0.895302621	0	0	2.35614381	0	0	0	0	0	2.887525271	8.954807	5.865423978	0.687060688	0	0	0	7.513411787	0	0	0	0	0	0.669026766	0	0	8.448405435	5.550285049	0	0	8.009380767	0	7.30861207	6.440287821	0	0	0	0.669026766	0	0	4.64096791	0	0	0	0	0	6.675815931	0	0	0	0	3.357552005	3.484138131	0	5.938285792	0.731183242	0	4.538538164	0	0	8.035843816	0	0	0	9.39664759	0	3.996388746	7.16651461	1	6.650046479	0	0	0	0	0	3.007195501	5.864928972	0	6.414304695	0	8.116031993	5.148934105	0	0	3.185866545	0	0	6.829722735	0	6.335926241	0	0	0	3.419538892	9.844799901	0	0	0	0	0	0	5.471512648	0	0	0	6.599912842	7.666614587	0	4.477029653	0	0	5.926236684	0	7.263691734	0	5.176721693	7.389308673	0	0	0	0	4.49441561	1.933572638	0	0	5.651338766	0	0	0	6.873321063	0	0	6.465974465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.684713561
Ifitm6	0	0	0	0	0	0	4.590362488	0	0	0	0	0	0	0	0	0	0	0	7.694601653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.632268215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.720825666	0	0	8.037217471	0	0	0	0	0	0	3.462052319	0	0	0	7.209160898	8.131805527	0	7.137503524	5.710393192	3.87774425	0	0	0	0	0	0	0	0	0	0	0	0	7.847307955	0	0	2.82374936	5.329482431	8.926384956	0	6.213541702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.469885976	0	0	0	0	0	0	0	0	2.253989266	0	0	0	6.429113779	7.325979979	5.082787732	0	0	0	0	0	4.578938713	4.031218731	0	6.108315355	0	0	5.566815154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.819668183	7.800511679	4.990501111	4.338424415	0	0	0	0	0	0	0	0	0	0	0
Ppfia4	0	0	0	0	2.918386234	0	0	0	0.275007047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372952098	5.521678952	0	0	5.922197848	0.150559677	5.141187525	0	0	0	4.811984719	0	0	4.067810784	0	1.769771739	6.754486698	0	0	0	0	1.117695043	0	0	0	0	0	0	0	0	0	0	0	0	0	7.502951112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.831877241	0	0	0	0	0	0	0	0	0	0	0.150559677	0.176322773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163498732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.879705766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.269033146	2.707082992	0	1.757023247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40599236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahnak	0	0	2.767654798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.815575429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.304511042	0	0	0	0	2.12763328	0	0.070389328	0	0	0	4.198494154	0	0	0	0	4.527946099	1.3950628	3.165107985	0.084064265	3.699329526	3.759155834	4.108524457	4.918863237	0.124328135	0	1.521050737	2.286881148	0	0	0	0	0	0	0	0	0	0	0.189033824	0	4.62935662	0	0.722466024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056583528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056583528	0	0	0	0	0	0	0	0	0	0	0	0	0	0.948600847	0	0.111031312	1.883620816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.498250868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810013P06Rik	0	0	0	0	0	0	0	6.294069295	0	0	0	3.428946345	0	0	0	4.438958148	4.693765712	5.882398504	0	0	6.10370744	0	4.554588852	0	0	0.613531653	4.718635616	0	0	0	0	4.237257771	0	0	8.489687429	0.731183242	0	0.669026766	6.606294161	0	0	0	2.153805336	0	0	0	6.63314055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.454175893	6.540399306	7.697245609	0	0	8.236827423	4.432959407	0	0	6.851749041	6.464994927	5.106850796	0	0	0	6.648896806	0	0	0	6.481718719	0	0	0	6.996049728	8.178216662	0	0.941106311	0	6.231893162	0.495695163	7.447661842	0	0	3.428946345	3.558267634	5.418864577	6.640244936	3.77925972	5.617357262	7.094658343	2.408711861	5.75141016	1.97819563	0	0	0	4.612352499	7.032431496	4.869377924	4.193771743	0	6.719046504	0	0	0	0	0	5.553974808	5.574404309	0	0	6.416164165	4.509062386	6.372081484	6.071462363	0	0	0	2.386810946	0	6.502075956	1.799087306	2.613531653	0	0	1.918386234	7.938638658	0	0	4.132576843	0	0	5.159467729	0	0	0	0	0	1.66448284	3.655351829	0	0	1.176322773	0	0	0	0	0	0	0	0	0	0	5.628190335	0	0	6.492013387	0.807354922	0	2.241840184	0	0	4.852997588	0	0	0	4.260778432	4.250203656	0.422233001	0	0	0	0	0	0.422233001	0	0	0	3.671293372	6.469723208	5.031659854	0	0	0	6.853122383	4.557042415	0	0	0	7.531849286	0	6.599168993	0	0	0	0	0	0	0	1.794935663	0	0	6.46515823	1.378511623	0	0	0	2.589763487	4.123500664	4.950468414	0	1.378511623	0	1.778208576	0	4.346247774	0	6.427941333	0.713695815	0	0	2.014355293	0	2.981852653	2.765534746	2.260025656	7.321206567	2.724650272	3.026800059	0	1.650764559	0	3.214124805	0	0	0	5.892633883	0	0	0	0	1.195347598	4.644433152	0	0	1.790772038	6.389738879	1.66448284	0	0	1.321928095	0	0	3.951401292	0	0	6.776893569	0	0	0	0	1.584962501	7.543109174
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372952098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.589763487	0	0	0	0	0	0	0	0	0	0	0	0	5.036063689	5.310340121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57167681	0	0	0	0	0	0	0	0	0	0	4.323370069	0	0	0	0	8.721611904	0	0	0	0	0	0	0	0	0	6.355439197	8.731997787	7.002927502	3.559491813	6.599466579	6.170525999	0	0	3.277984747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.042644337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.137503524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.907852072	0	0	0	0	0	3.161887682	0	0	0	0	0	0	0	0	0	0	6.303415463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.305423389	0	0	0	0	0	0	0	0	4.178714641	0	0	0	0	6.660067223	0	0	3.211012193	0	0	0	0	0	4.952333566	0	0	0	0	0	0	0	0
Trex1	0	1.989139007	4.878234879	0	0	4.009884589	9.094209674	5.142413438	0	7.685659877	0	0	0	2.629939409	3.390942773	0	0	0	0	0	0	7.919935917	0	0	0	0	0	2.50589093	1.049630768	0	8.596637034	6.183486514	0	0	0	0	0	0	0	1.835924074	2.263034406	0	0	6.570918255	0	0	7.862451391	0	0	0	0	0	0	0	0	0	0	1.049630768	0	0	0	0	0	0	0	0.807354922	0	0	0	7.918445868	0.895302621	3.49057013	0.925999419	2.748461233	6.98436149	0	4.814550423	9.172577521	5.873813198	5.347665656	0	7.860590409	0	0	3.224966365	3.389566812	0	0	0	7.138630189	8.332081317	1.40599236	4.960233672	0	2.042644337	0	0.799087306	8.117954721	6.433126376	3.685940148	6.527007761	7.901168595	6.816215688	8.033863452	4.161081482	8.119926751	0	9.738446977	6.502235115	0	0	0	0	0	8.89087224	6.525129251	0	0	0	0	0	0	0	0	0	0	6.471837762	0	0	2.066950244	7.425257872	1.23878686	0	0	0	1.049630768	0	8.356848079	4.700439718	0	0	6.914923239	4.09085343	0	0	7.123397197	0.887525271	7.122776238	0	0	3.329123596	0	0	0	0	0	6.543186525	0	0	0	0	0.584962501	8.857079029	0	0.757023247	0	0	4.256255873	0	0	0	0	0	5.591260525	5.352970338	4.888499736	7.779588046	0	0	0	3.303050085	0	0	0	0	7.649471757	0	0	0	0	6.150762744	0	0	0	0	0	0.773996325	0	0	0	0	0	0	0	4.363871925	6.079591449	6.223615617	6.448074996	6.719320364	0	0	5.864681406	7.573495715	4.604071324	0	0	0	2.518535139	5.603181229	0	0	0	0	2.150559677	0	2.232660757	0	0	3.282439805	4.602290585	0	0	0	0	0	0	5.153805336	0	0	7.089688814	0	0	3.336283388	4.660495132	0	0	6.845866357	0	1.042644337	0	4.766595162	1.150559677	5.263785614	3.327687364	0	0	2.601696516	5.689299161	0	0	0	0	0	0	0	0	0	0	0	0	5.610286657	0	0	4.504620392	0	0	0	0	8.920561279
Irf5	0	0	8.992371907	0	0	0	0	0	0	4.708739041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575312331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565597176	0	0	0	0	0	0	1.580145484	0	0.641546029	0	0	0	0	0	0	3.626439137	4.534186139	8.014801602	0	0	8.231605208	0	0	0	3.410069692	5.399512924	7.789729251	0	0	0	7.760553633	6.527477006	0	0	2.257010618	6.612647378	0	0	0	0.713695815	0	4.953265239	5.157852169	3.44625623	7.61117238	6.764473551	7.379465013	0	6.572131751	0	6.647746217	1.989139007	0	4.612352499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.648681141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.486714373	0.389566812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.981852653	0	0	0	2.773996325	0	7.891722957	0	0	0	0	0	0	0	0	0	6.67990229	5.770564792	0	0	5.992768431	0.97819563	0	0	8.157599574	0	0	0	0	0.773996325	7.309248961	6.938873855	0	0	0	0	0	5.188242656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.595443985	0	0	0	5.154210531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aif1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.835924074	0	3.983677695	3.860962798	0	0	6.86393845	0	0	0	6.507160349	5.793115555	1.748461233	4.078097423	0	0	7.813075701	5.495055528	0	0	0	0	0	0	0	0	0	0	6.936637939	0	5.665335917	0	1.09085343	0	9.534263969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.021479727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.294988268	0	0	0	3.56924803	0	0	0	0	0	0	0	0	0	0	0	7.376863374	3.121015401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.367371066	0	0	0	0	0	0	0	0
